,IOAD,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,Australia (Assisted Suicide),0.0,0.0,0.0,0.0,0.0,0.0,0.0006391969792024242,0.001078735275883447,0.0014988131965544792,0.0017701988593215635,0.0014579727080614422,0.0019275818949276748
1,Australia (Euthanasia),0.0,0.0,0.0,0.0,0.0,0.0,0.00012428830151158248,0.0001735895846249225,0.0006240195020674292,0.0011783868146371353,0.0022879796429878065,0.005373202789260147
2,Belgium (Euthanasia),0.016527338247937513,0.01840484941052933,0.018291855510625017,0.018760927685319666,0.02109131362500684,0.021270073124329394,0.024420955882352942,0.019267746816290506,0.024044669652955267,0.025485478604571232,0.030767156532290684,0.035528927900579536
3,Canada (Euthanasia),,,,0.0038096948875990314,0.010257003350331962,0.01572606613838098,0.01985622202515939,0.02467802809229213,0.032383519445514056,0.03963410071210275,0.047033398218966016,
4,Colombia (Euthanasia),,,1.8228881840387912e-05,3.138337936228973e-05,7.470261766760851e-05,0.00010132952784662087,0.00017604048112272887,0.00011636837573021156,0.00026169140798241433,0.0002727099935816739,,
5,Luxembourg (Assisted Suicide),0.0,0.0,0.0,0.0002592016588906169,0.0,0.0002498126405196103,0.0,0.0,0.0,0.000963159162051529,,
6,Luxembourg (Euthanasia),0.002179242713157178,0.0018893387314439945,0.002083876009377442,0.0023328149300155523,0.0027417746759720836,0.0017486884836372721,0.003992015968063872,0.005749770009199632,0.005691249703580745,0.008186852877437997,,
7,Netherlands (Assisted Suicide),,,,,0.001664292276352404,0.0013823412426726134,0.0016130625144023438,0.0012805463664496853,0.0011054441662962356,0.0010933972911963883,,
8,Netherlands (Euthanasia),0.034188820843215686,0.038111518930061844,0.037489635298435436,0.04088001771847755,0.04383745855912232,0.039944445531190705,0.041880370016789015,0.04113162356679591,0.044837751210724565,0.051260346124905945,0.053491897758979716,
9,New Zealand (Assisted Suicide),,,,,,,,,0.0002862704683384862,0.0005703323482138228,0.0006863055643543448,
10,New Zealand (Euthanasia),,,,,,,,,0.0016031146226955226,0.007932804479701353,0.008394044979410833,
11,Spain (Euthanasia),,,,,,,,,0.00016639156594430542,0.000445532837162389,0.0007658372389503903,
12,Switzerland (Assisted Suicide),0.009140881697992743,0.011769371084146244,0.01417762432968486,0.014479863939209537,0.015314098380560658,0.017799573173500432,0.01790151174973806,0.016376274692044876,0.019538712214855602,0.020827344709540858,0.02343199436222692,
13,United States (Assisted Suicide),7.393165865291127e-05,8.795248890313728e-05,0.00011096242392069688,0.00017564010249802495,0.0002850538990006408,0.00032720427020944243,0.0003849605476738085,0.0003602534363715298,0.0003790567156453369,0.0006099202397513634,0.0007258898704084945,0.0002642316651945188
